# mirror design exported by jaxmirror
# angle of incidence: 0 deg
# phase convention sign: +1
# incident medium: Air (n=1)
# layer 1: main/Si/Franta-20C, thickness 100000 nm
# substrate: main/Si/Franta-20C
# tabulated-data smoothing: sigma = 0.5 nm
# columns: wavelength_nm, R_s, R_p, phase_s_rad, phase_p_rad, GDD_s_fs2, GDD_p_fs2
5.000000000000000711e+01,2.059785073314622864e-02,2.059785073314622864e-02,-2.283483779165590144e-01,2.913244275673234185e+00,-2.265749077438331417e-03,-2.265749077438331417e-03
5.059500000000000597e+01,2.190456732683735905e-02,2.190456732683735905e-02,-2.323320272530259578e-01,2.909260626336767075e+00,-2.034023882564348247e-03,-2.034023882564348247e-03
5.119000000000000483e+01,2.326242461751253099e-02,2.326242461751253099e-02,-2.366086426740308668e-01,2.904984010915762305e+00,-1.794937526684807884e-03,-1.794937526684807884e-03
5.178500000000000369e+01,2.468016692952692756e-02,2.468016692952692756e-02,-2.411117155751996421e-01,2.900480938014593502e+00,-1.545940395483266132e-03,-1.545940395483266132e-03
5.238000000000000256e+01,2.616768724853576686e-02,2.616768724853576686e-02,-2.457795690200900995e-01,2.895813084569703211e+00,-1.285424045996642331e-03,-1.285424045996642331e-03
5.297500000000000142e+01,2.773610368488712424e-02,2.773610368488712424e-02,-2.505547617200036270e-01,2.891037891869789433e+00,-1.012660010276518648e-03,-1.012660010276518648e-03
5.357000000000000028e+01,2.939785813969696474e-02,2.939785813969696474e-02,-2.553837074737382862e-01,2.886208946116054719e+00,-7.277518872332374052e-04,-7.277518872332374052e-04
5.416499999999999915e+01,3.116684006256786182e-02,3.116684006256786182e-02,-2.602164597853507955e-01,2.881376193804442210e+00,-4.315928612161052768e-04,-4.315928612161052768e-04
5.476000000000000512e+01,3.305853859812158541e-02,3.305853859812158541e-02,-2.650066211037254704e-01,2.876586032486067701e+00,-1.258195735535843425e-04,-1.258195735535843425e-04
5.535500000000000398e+01,3.509022693960015676e-02,3.509022693960015676e-02,-2.697113431512220827e-01,2.871881310438570978e+00,1.872427385444206955e-04,1.872427385444206955e-04
5.595000000000000995e+01,3.728118336384126513e-02,3.728118336384126513e-02,-2.742913900845632691e-01,2.867301263505229958e+00,5.046451325413454838e-04,5.046451325413454838e-04
5.654500000000000881e+01,3.965295424016430925e-02,3.965295424016430925e-02,-2.787112404154870604e-01,2.862881413174306111e+00,8.228919807505030194e-04,8.228919807505030194e-04
5.714000000000000767e+01,4.222966531997718320e-02,4.222966531997718320e-02,-2.829392071569495348e-01,2.858653446432843914e+00,1.138029805118177243e-03,1.138029805118177243e-03
5.773500000000000654e+01,4.503838886670382541e-02,4.503838886670382541e-02,-2.869475588448842651e-01,2.854645094744908906e+00,1.445745366251917916e-03,1.445745366251917916e-03
5.833000000000000540e+01,4.810957573058720349e-02,4.810957573058720349e-02,-2.907126270939737189e-01,2.850880026495819397e+00,1.741470422897368553e-03,1.741470422897368553e-03
5.892500000000000426e+01,5.147756337810674432e-02,5.147756337810674432e-02,-2.942148892715150121e-01,2.847377764318278270e+00,2.020487917959444633e-03,2.020487917959444633e-03
5.952000000000000313e+01,5.517948496440250317e-02,5.517948496440250317e-02,-2.974560920221081539e-01,2.844136561567685018e+00,-2.392631532637709535e-04,-2.392631532637709535e-04
6.011500000000000909e+01,5.923410121830002123e-02,5.923410121830002123e-02,-3.006585977648674191e-01,2.840934055824925863e+00,-3.983091566359613957e-03,-3.983091566359613957e-03
6.071000000000000796e+01,6.364365772217693562e-02,6.364365772217693562e-02,-3.041761976935204448e-01,2.837416455896272893e+00,-7.758699605964655167e-03,-7.758699605964655167e-03
6.130500000000000682e+01,6.840680551332367632e-02,6.840680551332367632e-02,-3.083346129554174753e-01,2.833258040634375696e+00,-1.156843417030627152e-02,-1.156843417030627152e-02
6.190000000000000568e+01,7.351815702105163330e-02,7.351815702105163330e-02,-3.134307794754233045e-01,2.828161874114369922e+00,-1.542447287925624751e-02,-1.542447287925624751e-02
6.249500000000000455e+01,7.896761813686421771e-02,7.896761813686421771e-02,-3.197360661087318423e-01,2.821856587481061496e+00,-1.934630553787667143e-02,-1.934630553787667143e-02
6.309000000000000341e+01,8.473982404012216085e-02,8.473982404012216085e-02,-3.274997466554875891e-01,2.814092906934305471e+00,-2.335830765903917916e-02,-2.335830765903917916e-02
