# mirror design exported by jaxmirror
# angle of incidence: 45 deg
# phase convention sign: +1
# incident medium: Air (n=1)
# layer 1: main/MgF2/Franta, thickness 20 nm
# substrate: main/Al/Rakic
# columns: wavelength_nm, R_s, R_p, phase_s_rad, phase_p_rad, GDD_s_fs2, GDD_p_fs2
5.000000000000000711e+01,2.384390948337453131e-01,6.316515311549013301e-02,-1.627847193608450871e+00,3.125578747728532392e+00,-5.259495101012545692e-02,-1.191408610192274953e-01
5.059500000000000597e+01,2.590056236349151941e-01,7.485036543282971855e-02,-1.666300747382408742e+00,3.037683305612563611e+00,-7.911921703585743371e-02,-1.592993456791819140e-01
5.119000000000000483e+01,2.796997279380155632e-01,8.691520316245263111e-02,-1.717943664419463223e+00,2.923471054444290118e+00,-5.641575499693778084e-02,-1.007626566750263325e-01
5.178500000000000369e+01,2.957393765333217184e-01,9.608699236252672693e-02,-1.778623257518972656e+00,2.793474446042088832e+00,-2.555153998470516968e-02,-3.346646285920162195e-02
5.238000000000000256e+01,3.045939870787351955e-01,1.004138877058419893e-01,-1.842135982581963871e+00,2.661018948581166388e+00,7.309251634705304056e-03,3.372146321810878811e-02
5.297500000000000142e+01,3.058213532434895798e-01,9.962841859750680429e-02,-1.902793809539307324e+00,2.537537449129607214e+00,4.303991202853196113e-02,1.044377121793923918e-01
5.357000000000000028e+01,3.009733881330119432e-01,9.510545113750591695e-02,-1.955480283016601595e+00,2.432906556451396973e+00,6.850968101092373697e-02,1.515829734101461490e-01
5.416499999999999915e+01,2.935922866318360080e-01,8.950267936301796456e-02,-1.996947155032753107e+00,2.352832984062215083e+00,6.814734566571434282e-02,1.416132081739376325e-01
5.476000000000000512e+01,2.877968069200577683e-01,8.544523665897031661e-02,-2.028288028238272034e+00,2.293678557851603017e+00,2.908809949216444729e-02,5.097154489389941340e-02
5.535500000000000398e+01,2.857779960572532363e-01,8.396322650767956697e-02,-2.055068000310917853e+00,2.242686185434785706e+00,-1.711128048060028134e-02,-4.560931055811696944e-02
5.595000000000000995e+01,2.867029289087432709e-01,8.418442520163263443e-02,-2.083254535016302533e+00,2.187454664536719218e+00,-3.735049794653707428e-02,-7.812276064956051591e-02
5.654500000000000881e+01,2.880142312406966942e-01,8.437159118358325549e-02,-2.115232819261382957e+00,2.124215769525449105e+00,-2.297982858944654788e-02,-3.697542539048044585e-02
5.714000000000000767e+01,2.875350741886863459e-01,8.322998616660304272e-02,-2.149505248078428910e+00,2.057380968646879360e+00,2.302010878146515740e-03,2.274106430996059025e-02
5.773500000000000654e+01,2.846501876115740681e-01,8.056307119102092129e-02,-2.182962411510386058e+00,1.994206387935845814e+00,2.469796968201291854e-02,7.334173483327491305e-02
5.833000000000000540e+01,2.801683240863303559e-01,7.707497438556890068e-02,-2.213202369638462841e+00,1.940018604061972463e+00,3.091552833386982529e-02,8.716274230747055041e-02
5.892500000000000426e+01,2.753913022333684957e-01,7.370350494274313657e-02,-2.239646592201094411e+00,1.895959393086360967e+00,2.375717852849614994e-02,6.798587370688539966e-02
5.952000000000000313e+01,2.712044880285238158e-01,7.105138779066726140e-02,-2.263252130010099616e+00,1.859443115153840642e+00,8.433322386926107514e-03,2.464655720949731482e-02
6.011500000000000909e+01,2.677981709196731175e-01,6.922737644165390114e-02,-2.285391865260092192e+00,1.826415526421172553e+00,2.271858181728742324e-04,-5.788160874091291194e-03
6.071000000000000796e+01,2.649307431793196943e-01,6.797997974487149375e-02,-2.307022246613900318e+00,1.793684393465738491e+00,-3.711842970631348219e-03,-1.756495455666217190e-02
6.130500000000000682e+01,2.622484270315393884e-01,6.694789245268345512e-02,-2.328521098111214105e+00,1.760159210194660151e+00,-1.969158328057776623e-03,-8.337147028147535999e-03
6.190000000000000568e+01,2.594605954659456315e-01,6.586931176758727136e-02,-2.349835465462376760e+00,1.726445570156615483e+00,1.593754998449893579e-04,4.194638022946057046e-03
6.249500000000000455e+01,2.564060993141488165e-01,6.463583629082716997e-02,-2.370690851212025052e+00,1.693795646086140749e+00,5.574487199045467106e-03,2.222748347105211672e-02
6.309000000000000341e+01,2.530535882795183489e-01,6.326320249855425792e-02,-2.390738428380407399e+00,1.663487120119597318e+00,8.786564567703106926e-03,3.449006497138160793e-02
6.368500000000000227e+01,2.494631198995985177e-01,6.183844633303066385e-02,-2.409684070100922781e+00,1.636491073624082082e+00,1.275755750444344805e-02,4.533092132557278026e-02
6.428000000000000114e+01,2.457516998882133819e-01,6.048927687263223191e-02,-2.427314738156469254e+00,1.613395728525269357e+00,1.504509477920197916e-02,4.980260584790148493e-02
6.487500000000000000e+01,2.420580634076517357e-01,5.935497140280551753e-02,-2.443531416389248978e+00,1.594317464264521034e+00,1.617979276581885464e-02,4.752255159401465312e-02
6.546999999999999886e+01,2.385198190904501692e-01,5.856928934546302978e-02,-2.458340356935885929e+00,1.578870588453191948e+00,1.574819547548694451e-02,3.689945495063035041e-02
6.606499999999999773e+01,2.352546473606371147e-01,5.824341484095280769e-02,-2.471841056309776352e+00,1.566158380703964736e+00,1.409046224815314538e-02,1.835975669681547476e-02
6.665999999999999659e+01,2.323458981200486051e-01,5.844800276646015813e-02,-2.484205778745392834e+00,1.554856563502055700e+00,1.112903993339758695e-02,-5.156807833576638501e-03
6.725499999999999545e+01,2.298386449589345237e-01,5.920007709674646873e-02,-2.495640410620950433e+00,1.543427257987282086e+00,8.981982510322266550e-03,-3.020868339136322661e-02
6.785000000000000853e+01,2.277452442006961675e-01,6.045606462013156795e-02,-2.506341504907851458e+00,1.530405075486380051e+00,6.468556906244924028e-03,-5.025237146488854834e-02
6.844500000000000739e+01,2.260586710039338421e-01,6.211337368908537854e-02,-2.516468345072413015e+00,1.514697010884825668e+00,4.888770164408588921e-03,-6.195108874477731065e-02
6.904000000000000625e+01,2.247742580094639342e-01,6.402736780161229213e-02,-2.526134525251734431e+00,1.495787478766519962e+00,3.442663244397923226e-03,-6.291189564216655150e-02
6.963500000000000512e+01,2.239059928554057721e-01,6.603877160360444032e-02,-2.535439563783426387e+00,1.473784729604524335e+00,1.397313348434212760e-03,-5.438596798525065917e-02
7.023000000000000398e+01,2.234885487257249614e-01,6.800686181673408492e-02,-2.544524132111608328e+00,1.449302472066156033e+00,-2.758876302551247894e-03,-3.905594482691601005e-02
7.082500000000000284e+01,2.235568695527230532e-01,6.983782120628086176e-02,-2.553621529304582083e+00,1.423243432643294559e+00,-1.012516902860876276e-02,-2.130079865412735224e-02
7.142000000000000171e+01,2.241094499993918909e-01,7.149760430410476153e-02,-2.563062834292334280e+00,1.396552340933393310e+00,-1.800179048534273490e-02,-5.364343642151043860e-03
7.201500000000000057e+01,2.250745187146674098e-01,7.300870896656247444e-02,-2.573206190599044874e+00,1.370026003463590492e+00,-2.548735166033621810e-02,6.585080824141897188e-03
7.261000000000001364e+01,2.263048112954751390e-01,7.443736436637710119e-02,-2.584327182177872828e+00,1.344212954607278965e+00,-2.839902497331366765e-02,1.271308431360842518e-02
7.320499999999999829e+01,2.276077377339688901e-01,7.588132229929360484e-02,-2.596522654010605002e+00,1.319358907239170486e+00,-2.795330324009203185e-02,1.072686414714668808e-02
7.380000000000001137e+01,2.287968669351426454e-01,7.745533313326487257e-02,-2.609705988679194899e+00,1.295326454025592211e+00,-2.344520159327966036e-02,-2.695300046785074812e-03
7.439499999999999602e+01,2.297262387276755580e-01,7.926395859940298105e-02,-2.623664137832013132e+00,1.271532855781179361e+00,-1.884816515138451609e-02,-2.586383918943253174e-02
7.499000000000000909e+01,2.302959385288511629e-01,8.135579023181592484e-02,-2.638138907161034385e+00,1.247044258750841461e+00,-1.188784230097382141e-02,-5.287526158795684272e-02
7.558499999999999375e+01,2.304372076564265848e-01,8.367920321832239550e-02,-2.652836076162869539e+00,1.220886713124262668e+00,-2.441732122452616900e-03,-7.071842295926732136e-02
7.618000000000000682e+01,2.301181494914552039e-01,8.607810375345043008e-02,-2.667400850937563295e+00,1.192505940947158782e+00,8.208205521019661111e-03,-6.892705003121483986e-02
7.677499999999999147e+01,2.293763766237187640e-01,8.834712304449478248e-02,-2.681421233440997920e+00,1.162074678131107763e+00,2.057248117837544993e-02,-4.747847387992536194e-02
7.737000000000000455e+01,2.283474837389394829e-01,9.031914202494684130e-02,-2.694514662639631464e+00,1.130433154536207629e+00,2.802156264204058028e-02,-1.546518355115760260e-02
7.796500000000000341e+01,2.272496475712298125e-01,9.193389455177486402e-02,-2.706473317510237120e+00,1.098703344022017969e+00,2.681303856842622013e-02,1.004110831697836888e-02
7.856000000000001648e+01,2.263199088561941297e-01,9.325154139914704210e-02,-2.717370667938288076e+00,1.067762671005711761e+00,1.780096732234206017e-02,2.425200142085212618e-02
7.915500000000001535e+01,2.257401615290914598e-01,9.440048771228054525e-02,-2.727533796169634872e+00,1.038030667916701733e+00,3.632497416336548293e-03,2.259380896412432546e-02
7.975000000000001421e+01,2.255878468977333406e-01,9.550879743431714419e-02,-2.737428140035190527e+00,1.009440119534245284e+00,-1.030177951582485901e-02,1.591883551319299081e-02
8.034499999999999886e+01,2.258342760595544452e-01,9.665040811656554209e-02,-2.747490570567733492e+00,9.817464057352021101e-01,-2.342862811579502977e-02,4.319930099902730657e-03
8.094000000000001194e+01,2.263854406235727423e-01,9.788946536893262940e-02,-2.758077479178502323e+00,9.545793860362161709e-01,-2.816520465507737700e-02,-1.508536307786489256e-02
8.153499999999999659e+01,2.270606489988311050e-01,9.912135690692437662e-02,-2.769311362478761307e+00,9.277494298742561263e-01,-2.326983732785956049e-02,6.753867109844544081e-02
8.213000000000000966e+01,2.278672928902798767e-01,1.006295865026107794e-01,-2.781212529631894359e+00,9.020590545716207220e-01,-5.291898835939255752e-02,-8.615011853332164848e-02
8.272500000000000853e+01,2.286151868389048047e-01,1.025410874530573585e-01,-2.794198641666643113e+00,8.749695375826226362e-01,-4.116038268695648705e-02,-1.111090670998198526e-01
8.332000000000000739e+01,2.289828067860177618e-01,1.044389093071189240e-01,-2.808089193874288902e+00,8.455535670115973401e-01,-2.993130763451559359e-02,-8.682087009280557710e-02
8.391500000000000625e+01,2.288594474593633188e-01,1.062103414227579951e-01,-2.822508623866704536e+00,8.143739157305402987e-01,-4.311132494900113583e-03,-5.717466470680201279e-02
8.451000000000000512e+01,2.280851407617411897e-01,1.075037832718019892e-01,-2.836859928336965542e+00,7.821341242765896817e-01,1.407122174096693719e-02,-4.649895478217828948e-02
8.510500000000000398e+01,2.266654411050241236e-01,1.082534231944156794e-01,-2.850655001204509098e+00,7.493131429496128204e-01,4.013233866251231935e-02,8.707903369697315640e-03
8.570000000000000284e+01,2.247776588173074630e-01,1.085365262200860409e-01,-2.863311033720522314e+00,7.171063949044560459e-01,6.556390521054183962e-02,4.750354888604885889e-02
8.629500000000000171e+01,2.226217799535979147e-01,1.083112947120202924e-01,-2.874301934735057351e+00,6.864213527766170886e-01,8.100950588199133662e-02,8.603747108277792766e-02
8.689000000000000057e+01,2.205146043744890538e-01,1.076646680677275369e-01,-2.883349203975633657e+00,6.580982735913767367e-01,8.187265221188434750e-02,1.307391146669570625e-01
8.748499999999999943e+01,2.188557481839520924e-01,1.068293561990959067e-01,-2.890524042194226872e+00,6.329709459736262422e-01,5.881404488891846943e-02,1.483963918380260816e-01
8.807999999999999829e+01,2.180121421918025382e-01,1.061267552628243072e-01,-2.896386829825228659e+00,6.112775451304760521e-01,1.228606083261789793e-02,1.266051310523817752e-01
8.867500000000001137e+01,2.182106406530992526e-01,1.058907700606013247e-01,-2.901936331357258148e+00,5.924341579460207230e-01,-4.857254093116336602e-02,6.452201397385977366e-02
8.927000000000001023e+01,2.194650667567124014e-01,1.063838338113689830e-01,-2.908387624672944316e+00,5.751032078327797947e-01,-1.090063301376258953e-01,-2.444723041581821701e-02
8.986500000000000909e+01,2.215517523112046638e-01,1.077274895399849275e-01,-2.916871683734258980e+00,5.575009827392307660e-01,-1.560525331230012414e-01,-1.281517755009576875e-01
9.046000000000000796e+01,2.240378320433280279e-01,1.098716882376715304e-01,-2.928192906840589860e+00,5.377249339861536193e-01,-1.802133642308315631e-01,-2.196380899207074633e-01
9.105500000000000682e+01,2.263595790468021229e-01,1.125957054042025229e-01,-2.942678912591463636e+00,5.141753953382267595e-01,-1.756691420917654844e-01,-2.828433128241437666e-01
9.165000000000000568e+01,2.279139243133197212e-01,1.155333908630713224e-01,-2.960151156305921738e+00,4.858606431117703517e-01,-1.473179273649154741e-01,-3.068965017170321441e-01
9.224500000000000455e+01,2.281574629473604177e-01,1.182319648796051198e-01,-2.980008145908120021e+00,4.525170307645307588e-01,-1.011231164131853461e-01,-2.956780245055251610e-01
9.284000000000000341e+01,2.266731157621148240e-01,1.202195778502560125e-01,-3.001349368038400023e+00,4.145337864579479170e-01,-4.132888337830641773e-02,-2.559815187604909115e-01
9.343500000000000227e+01,2.232048901784887684e-01,1.210704056136256840e-01,-3.023091212981310338e+00,3.727679375835292186e-01,3.255839484352215929e-02,-1.937645966332719183e-01
9.403000000000000114e+01,2.176654472897516512e-01,1.204480197208725317e-01,-3.044020315399500909e+00,3.283678549562971116e-01,1.161559433202164759e-01,-1.190296764738159319e-01
9.462500000000001421e+01,2.101304481031475713e-01,1.181332155803984096e-01,-3.062827049559699866e+00,2.826238365408055286e-01,2.110316041130110010e-01,-3.631057953421798490e-02
9.521999999999999886e+01,2.008244060795016384e-01,1.140296561782391527e-01,-3.078093955440131868e+00,2.369034028470073383e-01,3.212319199685633730e-01,5.790134383177474725e-02
9.581500000000001194e+01,1.900971321709839790e-01,1.081547024818286240e-01,-3.088276909381999946e+00,1.926332602297543550e-01,4.500528054734305727e-01,1.607463648176610804e-01
9.640999999999999659e+01,1.783904931224191692e-01,1.006121593895228095e-01,-3.091641137463448707e+00,1.513710985132853681e-01,6.085985957174894212e-01,2.998915663854841984e-01
9.700500000000000966e+01,1.662203374919620225e-01,9.155778920853845093e-02,-3.086116756694292640e+00,1.150252522111402248e-01,8.197125222347477758e-01,5.052806462548348199e-01
9.759999999999999432e+01,1.542054672987113184e-01,8.117449678222618537e-02,-3.069033335827142217e+00,8.642399279116899646e-02,1.112034541527798570e+00,8.791394881077455592e-01
9.819500000000000739e+01,1.432292264180723973e-01,6.971838271089988992e-02,-3.036875837035980741e+00,7.067670659296859670e-02,1.441761344688389457e+00,1.630575059595089416e+00
9.879000000000000625e+01,1.347773501466358881e-01,5.771509787456060442e-02,-2.985859637022805213e+00,7.778691196605862224e-02,1.615341299476482417e+00,3.083614584992223406e+00
9.938500000000001933e+01,1.313042350439959927e-01,4.632236469034627102e-02,-2.914964645354990225e+00,1.261195653549128659e-01,1.099977721205918746e+00,5.300309791623366351e+00
9.998000000000000398e+01,1.361198998137741756e-01,3.769346376791257031e-02,-2.832135889902101411e+00,2.403813453308923653e-01,-5.421581798404498942e-01,6.112689765692032928e+00
1.005750000000000171e+02,1.520418184683266505e-01,3.476104587541992141e-02,-2.756886441024096523e+00,4.234495223967226218e-01,-2.357852156655650955e+00,6.844172407602311381e-01
1.011700000000000017e+02,1.791747466902070818e-01,3.993558800097390254e-02,-2.709190636331388014e+00,6.130908089127625749e-01,-2.899727054889560396e+00,-6.486228175961280762e+00
1.017650000000000148e+02,2.138847458644079491e-01,5.338481161497968253e-02,-2.695209634484231120e+00,7.327285360550915838e-01,-2.285355526884376154e+00,-7.124355312311561050e+00
1.023599999999999994e+02,2.505280026184931175e-01,7.254928601291819878e-02,-2.707552244480643910e+00,7.731655993036180563e-01,-1.300549277191144215e+00,-4.250207733626028883e+00
1.029550000000000125e+02,2.845059295659826404e-01,9.366088192893055886e-02,-2.734797424550462708e+00,7.641263177207403556e-01,-4.534638602746145497e-01,-1.862367818655628948e+00
1.035499999999999972e+02,3.131835034650858884e-01,1.132996183607835189e-01,-2.767366189021061462e+00,7.335449103186457709e-01,4.747207888782120633e-03,-3.452769134509849347e-01
1.041450000000000102e+02,3.362346626080160994e-01,1.296887851192563279e-01,-2.798853018824312588e+00,6.999325099541430228e-01,4.552319793472351384e-01,8.167799938845421437e-01
1.047399999999999949e+02,3.548687124672108006e-01,1.427922618807353217e-01,-2.824948617152652552e+00,6.753317844692254823e-01,7.888320525683748530e-01,1.646166167253758417e+00
1.053350000000000080e+02,3.717936332589153459e-01,1.545473425307810622e-01,-2.842846714926872576e+00,6.676411872720426910e-01,8.825098209547288519e-01,1.966671636053112904e+00
1.059299999999999926e+02,3.915538693747878662e-01,1.693040670295432870e-01,-2.851964095626146722e+00,6.793445121105845530e-01,6.009199309940512768e-01,1.363577438134270459e+00
1.065250000000000057e+02,4.200635299040258452e-01,1.937446811355256482e-01,-2.855397627987968701e+00,7.033643949477891288e-01,-1.763888642602705059e-01,-5.632440072459340419e-01
1.071199999999999903e+02,4.626171619148466418e-01,2.354523377563536024e-01,-2.860676274931216234e+00,7.215688524954666505e-01,-1.187586918446566830e+00,-2.814999266796473165e+00
1.077150000000000034e+02,5.207841134419118889e-01,2.997060220179502688e-01,-2.876778508966624237e+00,7.139796538226764744e-01,-1.809641570616754791e+00,-3.911996177427113253e+00
1.083100000000000023e+02,5.901571131496722300e-01,3.852251181757764820e-01,-2.908778522151388657e+00,6.714667961803225671e-01,-1.682941745983006721e+00,-3.428075795603067633e+00
1.089050000000000011e+02,6.622862797014377190e-01,4.830495596822244053e-01,-2.955541960487293895e+00,5.986032514784562775e-01,-1.103708817255310892e+00,-2.122632253755888154e+00
1.095000000000000142e+02,7.291105515510430957e-01,5.805281600319688318e-01,-3.012264654004042530e+00,5.066263184943051723e-01,-4.523246561343123306e-01,-7.728790985605253905e-01
1.100950000000000131e+02,7.856480591182759543e-01,6.668889957706009008e-01,-3.073944969716090103e+00,4.063517250002528503e-01,-2.068882445168969408e-01,-1.597410273396029645e-01
1.106899999999999977e+02,8.300377367476839963e-01,7.362344180464245325e-01,-3.136997122311793618e+00,3.052782424292970198e-01,1.223425316379471717e-01,4.602767540229660836e-01
1.112850000000000108e+02,8.621706921971237225e-01,7.868683685944981576e-01,-3.198926052069368975e+00,2.081753546942291810e-01,2.171316166145808302e-01,6.318189726775023107e-01
1.118799999999999955e+02,8.834487602329490485e-01,8.206599996056908042e-01,-3.257888347218030223e+00,1.179984400104965719e-01,3.592044606127608453e-01,8.157651310110570764e-01
1.124750000000000085e+02,8.976361289216440165e-01,8.433060472672986307e-01,-3.313169122566619773e+00,3.555058893723386099e-02,3.701672453914795491e-01,7.838903930058545022e-01
1.130699999999999932e+02,9.066629275965307766e-01,8.580563345309566436e-01,-3.365170943646077273e+00,-4.016942114413637327e-02,2.643903246261302131e-01,5.985991371390315674e-01
1.136650000000000063e+02,9.121216406732786108e-01,8.674916576251880951e-01,-3.414216687277987994e+00,-1.100079034259223709e-01,2.290927572036053905e-01,5.127306672983270586e-01
1.142600000000000193e+02,9.153155059122474180e-01,8.736050842197226052e-01,-3.460668193686891936e+00,-1.747960610142919591e-01,2.637155744113167666e-01,5.240041193021893751e-01
1.148550000000000040e+02,9.171901046985407868e-01,8.777709701925794361e-01,-3.504851266265060605e+00,-2.352477682855774466e-01,1.982466633663990119e-01,4.162496776120087616e-01
1.154500000000000171e+02,9.183753281848471284e-01,8.808721270992773134e-01,-3.547202179580785764e+00,-2.921430959209964096e-01,1.186262700193732589e-01,2.994991950492955635e-01
