# mirror design exported by jaxmirror
# angle of incidence: 74 deg
# phase convention sign: +1
# incident medium: Air (n=1)
# layer 1: main/Si/Franta-20C, thickness 100000 nm
# substrate: main/Si/Franta-20C
# tabulated-data smoothing: sigma = 0.5 nm
# columns: wavelength_nm, R_s, R_p, phase_s_rad, phase_p_rad, GDD_s_fs2, GDD_p_fs2
5.000000000000000711e+01,8.556743252711479508e-01,7.960495599114366660e-01,-2.290143801999389606e+00,-2.645912349575172406e+00,1.350437261436308488e-03,1.459868704202689667e-03
5.059500000000000597e+01,8.564423278333087586e-01,7.958012112032174512e-01,-2.300668369223850540e+00,-2.661332286746615150e+00,1.030777569651872847e-03,9.998889927699198665e-04
5.119000000000000483e+01,8.570297115431056989e-01,7.953291975488464560e-01,-2.310752254317123722e+00,-2.676203477093077154e+00,7.336113233724241142e-04,5.597955697196307142e-04
5.178500000000000369e+01,8.575013424960101771e-01,7.947123290658297812e-01,-2.320471124094922288e+00,-2.690630965355141235e+00,4.571537928144318538e-04,1.377930418579197049e-04
5.238000000000000256e+01,8.579142767627422339e-01,7.940210725979450768e-01,-2.329889692986054861e+00,-2.704706225424810206e+00,2.003688128147041911e-04,-2.669627352130375143e-04
5.297500000000000142e+01,8.583188747866495882e-01,7.933187270994691564e-01,-2.339063128882573395e+00,-2.718508752473632661e+00,-3.718817301470997763e-05,-6.545269322328452818e-04
5.357000000000000028e+01,8.587596135224497829e-01,7.926622917527096357e-01,-2.348038198271478638e+00,-2.732107350402668278e+00,-2.555017032591134791e-04,-1.024300857557448570e-03
5.416499999999999915e+01,8.592756761244463304e-01,7.921031065641394031e-01,-2.356854212800101323e+00,-2.745561185650097435e+00,-4.542080037013680955e-04,-1.375146045854576480e-03
5.476000000000000512e+01,8.599013805088494555e-01,7.916873269006596825e-01,-2.365543824612158286e+00,-2.758920661897998894e+00,-6.326902131547229189e-04,-1.705481145692343400e-03
5.535500000000000398e+01,8.606664944912744142e-01,7.914562797953418327e-01,-2.374133706428937618e+00,-2.772228157530242765e+00,-7.901591334720187241e-04,-2.013363830555506967e-03
5.595000000000000995e+01,8.615964748852771304e-01,7.914467394326714089e-01,-2.382645143534531940e+00,-2.785518657806969056e+00,-9.257206167692654279e-04,-2.296558920825922650e-03
5.654500000000000881e+01,8.627126599031549326e-01,7.916911510538066077e-01,-2.391094557930385278e+00,-2.798820305945239895e+00,-1.038430223123987077e-03,-2.552593302307334250e-03
5.714000000000000767e+01,8.640324377371882969e-01,7.922178259621335261e-01,-2.399493979518180442e+00,-2.812154891148847646e+00,-1.127335598593794683e-03,-2.778797953782589751e-03
5.773500000000000654e+01,8.655694088672052366e-01,7.930511249382073968e-01,-2.407851474943887293e+00,-2.825538286773136232e+00,-1.191507040178683150e-03,-2.972337345372487796e-03
5.833000000000000540e+01,8.673335551507449503e-01,7.942116429184536974e-01,-2.416171541465490513e+00,-2.838980847996264600e+00,-1.230056847292485510e-03,-3.130226549331590041e-03
5.892500000000000426e+01,8.693314249262609206e-01,7.957164040793527349e-01,-2.424455470720451977e+00,-2.852487775408791837e+00,-1.242148224765271276e-03,-3.249336529623535370e-03
5.952000000000000313e+01,8.715579820526602184e-01,7.975670156808060129e-01,-2.432699185604609848e+00,-2.866054821483748238e+00,-8.670293750336928581e-04,-2.655649136576645770e-03
6.011500000000000909e+01,8.739023710907606324e-01,7.996119176596320210e-01,-2.440865881915036173e+00,-2.879616612542677423e+00,-3.249374517151623685e-04,-1.722867752656172518e-03
6.071000000000000796e+01,8.762017269145285780e-01,8.016185131651317741e-01,-2.448904157169334628e+00,-2.893077700883369463e+00,1.584712775665640336e-04,-8.658418042711080523e-04
6.130500000000000682e+01,8.783212383815091062e-01,8.033878237623294227e-01,-2.456772583880264538e+00,-2.906357830520512664e+00,5.771336551009905629e-04,-9.767894352670330983e-05
6.190000000000000568e+01,8.801527847075040212e-01,8.047539073639966567e-01,-2.464439602014677266e+00,-2.919392332227762843e+00,9.234269222346805275e-04,5.660527381025679374e-04
6.249500000000000455e+01,8.816116056334697415e-01,8.055805186211033586e-01,-2.471883062071538184e+00,-2.932131769541022948e+00,1.188640279788983570e-03,1.107792604684081908e-03
6.309000000000000341e+01,8.826328937747395242e-01,8.057575577869916517e-01,-2.479089857833488786e+00,-2.944541688010848368e+00,1.363202562171470606e-03,1.508166409918783616e-03
6.368500000000000227e+01,8.831684837809745670e-01,8.051974550302749556e-01,-2.486055615390725393e+00,-2.956602432392969604e+00,1.436699794416643845e-03,1.745907861915432574e-03
6.428000000000000114e+01,8.831837676171849782e-01,8.038316173058402958e-01,-2.492784427336005582e+00,-2.968309022432334299e+00,1.397740681184175653e-03,1.797584488735343503e-03
6.487500000000000000e+01,8.826549269778166673e-01,8.016070456817248058e-01,-2.499288633843107732e+00,-2.979671093158039241e+00,1.233737953668406122e-03,1.637203161366307521e-03
6.546999999999999886e+01,8.815901169075524013e-01,7.985209405246638248e-01,-2.505589201753908757e+00,-2.990715741287531593e+00,9.045231211894771408e-04,9.621145904603653053e-04
6.606499999999999773e+01,8.801416826607633137e-01,7.948030130173078245e-01,-2.511714448585032233e+00,-3.001495385915251113e+00,6.345761959081227090e-04,3.323859464841988874e-04
6.665999999999999659e+01,8.784925112276590342e-01,7.907382495250787624e-01,-2.517688263753274480e+00,-3.012059858612236685e+00,4.644554010106852811e-04,-1.419969213923390271e-04
6.725499999999999545e+01,8.767977039768852787e-01,7.865730375640319627e-01,-2.523526466891170550e+00,-3.022445292903564784e+00,4.065735120338763160e-04,-4.345615082047103316e-04
6.785000000000000853e+01,8.751879501731100186e-01,7.825194394441156165e-01,-2.529236931958330548e+00,-3.032673962905316323e+00,4.664992598041362601e-04,-5.277413689158187661e-04
6.844500000000000739e+01,8.737724577167647055e-01,7.787592352943786267e-01,-2.534820155824238697e+00,-3.042754781826368049e+00,6.440614923166967671e-04,-4.118237919305089262e-04
6.904000000000000625e+01,8.726414874541253974e-01,7.754476076721210642e-01,-2.540270120483809180e+00,-3.052684264804023329e+00,9.343472675230755009e-04,-8.402071012887005316e-05
6.963500000000000512e+01,8.718686245010369706e-01,7.727165353138830683e-01,-2.545575334545783441e+00,-3.062447815531842199e+00,1.328664237778731183e-03,4.524374576679351034e-04
7.023000000000000398e+01,8.715128753848526699e-01,7.706779397584099245e-01,-2.550719962108085603e+00,-3.072021221150488923e+00,1.815475610744134074e-03,1.189208900666521591e-03
7.082500000000000284e+01,8.716206316302680390e-01,7.694265884524683630e-01,-2.555684967803407037e+00,-3.081372263097390984e+00,2.324050340988890583e-03,2.029207455884553084e-03
7.142000000000000171e+01,8.721966624027966963e-01,7.689884562579027971e-01,-2.560457977836381183e+00,-3.090475606093617600e+00,2.018727284901434584e-03,1.671897467761712273e-03
7.201500000000000057e+01,8.731458075855584866e-01,7.692136968612516279e-01,-2.565055805690181323e+00,-3.099349245809887243e+00,1.606864815191210924e-03,1.095325374600785362e-03
7.261000000000001364e+01,8.743680020750765891e-01,7.699380979558099192e-01,-2.569504119453293711e+00,-3.108027389955328790e+00,1.100725326373366581e-03,3.101376104764521475e-04
